epoch,train_loss,train_accuracy,train_jaccard,train_dice,train_precision,train_recall,train_specificity,train_hd_mean,train_hd95_mean,val_loss,val_accuracy,val_jaccard,val_dice,val_precision,val_recall,val_specificity,val_hd_mean,val_hd95_mean
1,0.5817171291194179,0.7962394714355469,0.26141777634620667,0.4144824743270874,0.44405800104141235,0.38860055804252625,0.9134842753410339,113.82690645089,84.37803421609988,0.5031675304237165,0.8291346430778503,0.3167628347873688,0.48112359642982483,0.5372774004936218,0.4355970025062561,0.9166107177734375,108.77934267324245,76.26777342771274
2,0.5299991948360746,0.8187400381905692,0.20652253925800323,0.34234344959259033,0.5418311357498169,0.2502193748950958,0.9623743295669556,111.0787496330733,83.23096485986493,0.502283148075405,0.841203510761261,0.249782532453537,0.39972159266471863,0.6394608616828918,0.290725976228714,0.9635644555091858,103.67135802070257,73.66463718624131
3,0.5017681172625585,0.8308640834263393,0.31696397066116333,0.48135557770729065,0.4549740254878998,0.5109848976135254,0.8911469578742981,93.64461630508352,73.59270481977036,0.4572623168167315,0.8347800970077515,0.3728398382663727,0.5431658029556274,0.5462664365768433,0.5401001572608948,0.9002819061279297,90.6067562390162,65.60043799121985
4,0.482855447652665,0.8430916922433036,0.2952883541584015,0.4559422731399536,0.5149002075195312,0.40909895300865173,0.931460976600647,94.64316816276106,72.9350236146724,0.4674311029283624,0.8445519804954529,0.33856984972953796,0.5058680176734924,0.5994868278503418,0.437539666891098,0.935023307800293,91.0888766578285,69.77416232726611
5,0.47398619387637486,0.8444397190638951,0.23064284026622772,0.3748331069946289,0.6694844961166382,0.26027965545654297,0.9771496653556824,89.03263855099486,72.0614325584434,0.4957567218102907,0.8529449701309204,0.25471189618110657,0.4060085713863373,0.764807939529419,0.27635863423347473,0.9811093807220459,89.47915796137033,70.42625846081519
6,0.46021408621560445,0.8514220319475446,0.36516717076301575,0.5349779725074768,0.5725530982017517,0.5020309686660767,0.9333502054214478,90.32644497822716,69.41749620188146,0.41534360302122014,0.8617958426475525,0.4039551317691803,0.5754530429840088,0.6519176363945007,0.515042781829834,0.9388726353645325,84.05684250056397,60.65263528760302
7,0.44868925789540465,0.8585585457938057,0.3892279863357544,0.5603514909744263,0.582517147064209,0.5398108959197998,0.9312023520469666,82.11812584511328,63.50264302857261,0.4069933750127491,0.8642104864120483,0.4185451865196228,0.5901048183441162,0.6541563272476196,0.5374778509140015,0.9368370771408081,77.51408907957331,58.3241709086753
8,0.41516564989631827,0.8728155081612723,0.3885064423084259,0.5596033930778503,0.6682772040367126,0.48133042454719543,0.9575122594833374,80.4370320830576,61.34242702572937,0.4263827079220822,0.8690940141677856,0.4018937051296234,0.5733582973480225,0.7038546800613403,0.48368242383003235,0.9547638893127441,77.88280037185994,57.857517435795735
9,0.39895976470275357,0.8768284170968192,0.45451727509498596,0.6249733567237854,0.6214783787727356,0.6285078525543213,0.9319266676902771,86.85356003323662,65.53347869129571,0.39043104021172775,0.8719705939292908,0.45905613899230957,0.6292508244514465,0.6646448373794556,0.5974358320236206,0.9329946041107178,79.32316279311283,57.872231210625344
10,0.3773731931366704,0.8856028311593191,0.4666248857975006,0.6363247632980347,0.7047742605209351,0.579994261264801,0.9567954540252686,77.01054876947408,56.591819595163486,0.4206631011084506,0.8735711574554443,0.42259758710861206,0.5941210389137268,0.713786780834198,0.5088181495666504,0.9546489715576172,76.56234852664784,57.642133105289005
11,0.35454803993078793,0.8960084097726004,0.5174842476844788,0.6820291876792908,0.6857841610908508,0.6783150434494019,0.9447319507598877,76.02714447140275,56.07156046434915,0.3654202207138664,0.8834042549133301,0.48442456126213074,0.6526765823364258,0.7121099233627319,0.6023997068405151,0.9458663463592529,78.10560019909212,57.05862752318991
12,0.3339819384908134,0.9033006722586495,0.560784637928009,0.7185932397842407,0.781238853931427,0.6652485132217407,0.9668737649917603,70.1931437410899,49.06472097155554,0.3597912545266904,0.890368640422821,0.4893549382686615,0.6571367383003235,0.7618901133537292,0.5777069926261902,0.959867537021637,75.3570602267065,55.95914699136298
13,0.3092346868731759,0.9124668666294643,0.6026560068130493,0.7520715594291687,0.7097145318984985,0.7998054027557373,0.9418262243270874,78.37600736144162,55.68054293879283,0.3367034573304026,0.8936131000518799,0.5412536859512329,0.7023550868034363,0.7149295806884766,0.6902152895927429,0.9388246536254883,77.83746194504234,55.571134566642044
