epoch,train_loss,train_accuracy,val_loss,val_accuracy,jaccard,dice,precision,recall,specificity,hd_mean,hd95_mean
1,0.5463861548765139,0.8111665126255581,0.5432793921545932,0.794177234172821,0.2230144888162613,0.3646963834762573,0.37648114562034607,0.3536270260810852,0.8825358748435974,109.9612035257288,87.51649982949355
2,0.51161083037203,0.8121877833775112,0.5586675703525543,0.8427479267120361,0.17870385944843292,0.3032209575176239,0.5836336612701416,0.2048153430223465,0.970694363117218,94.93531805640319,76.58634212226342
3,0.46857364577325905,0.8405790274483816,0.46216950447935806,0.8321924805641174,0.34586355090141296,0.5139652490615845,0.4978978633880615,0.5311042666435242,0.8925800323486328,93.05176651661121,74.08434167691901
4,0.450528076257218,0.8478672790527344,0.4570913424617366,0.8429178595542908,0.35905954241752625,0.5283941626548767,0.5300449728965759,0.5267535448074341,0.9063291549682617,97.52074373087858,78.51439696108446
5,0.41641616922887886,0.8685436793736049,0.4518839120864868,0.8213711380958557,0.3838145434856415,0.5547196269035339,0.47528740763664246,0.6660295128822327,0.8525271415710449,107.4822672857575,87.10294284550773
6,0.3976691392335025,0.8760500008719309,0.4119604700490048,0.867411196231842,0.40575307607650757,0.5772750377655029,0.6175676584243774,0.5419180989265442,0.9326934814453125,94.41039013764187,73.66249748667421
7,0.3695396257733757,0.8870089067731585,0.4234647970450552,0.8765085935592651,0.37203046679496765,0.5423064231872559,0.7119958996772766,0.43793392181396484,0.9644709825515747,85.32002270459522,66.88813064219615
8,0.34971096891571174,0.8958762686593192,0.37245482206344604,0.8879305124282837,0.43732893466949463,0.6085300445556641,0.7306183576583862,0.5214023590087891,0.9614429473876953,89.47843960818524,65.58047081289297
9,0.32568262415853416,0.9041939435686384,0.35132146979633133,0.8937327265739441,0.4647357761859894,0.6345660090446472,0.7456416487693787,0.5522928833961487,0.9622133374214172,76.91116956204063,54.602862047440226
10,0.31914768029343,0.9063969857352121,0.3798951412502088,0.887479841709137,0.4412885010242462,0.6123527884483337,0.7213292121887207,0.5319823622703552,0.9587799310684204,77.0004623672825,57.91355669185329
11,0.30630880695852364,0.9097286769321986,0.33748274806298706,0.8901846408843994,0.5043359398841858,0.6705097556114197,0.6721795797348022,0.6688482165336609,0.9345768094062805,86.61563745168236,60.70861052130548
12,0.29492533850398933,0.9128949410574777,0.325097542060049,0.9021018743515015,0.5293688774108887,0.6922710537910461,0.7288967967033386,0.6591499447822571,0.9508293271064758,84.94143849104988,55.20321860819804
13,0.2752649486064911,0.919779052734375,0.33428279428105606,0.9023106694221497,0.4818789064884186,0.6503620743751526,0.8087373971939087,0.5438581109046936,0.9742034673690796,74.90639380885227,49.28230188370929
14,0.269460971721194,0.9216417149135044,0.2975588535007678,0.905802309513092,0.5547714829444885,0.7136372923851013,0.7250352501869202,0.7025921940803528,0.9465590119361877,82.6725170209197,56.95735224706208
15,0.25504112446849997,0.9262879507882255,0.328826032971081,0.8874924778938293,0.5250198841094971,0.6885417103767395,0.6404717564582825,0.7444128394126892,0.9161891341209412,93.0582952852785,71.05624985288578
16,0.2518916526301341,0.9262537275041852,0.34066749873914215,0.9033131003379822,0.5052984952926636,0.6713598370552063,0.7767375111579895,0.5911591053009033,0.9659200310707092,77.27864126974082,54.046671864680754
